Title,Price,Area,Location
Masvingo - House,"$95,000",1 bathrooms,masvingo
Chiredzi - House,"$70,000",5705 m²,chiredzi
Sally Mugabe Heights - House,"$45,000",2000 m²,harare north
"Greencroft - House, Townhouse Complex","$450,000",8094 m²,harare west
Eastlea - House,"$325,000",2000 m²,harare east
Glen View - House,"$35,000",200 m²,harare high density
New Marlborough - House,"$140,000",2000 m²,harare west
Kuwadzana - House,"$40,000",200 m²,harare high density
Bulawayo City Centre - House,"$125,000",1 bathrooms,bulawayo cbd industrial
Waterfalls - House,"$55,000",1005 m²,harare south
"Hillside - Townhouse Complex, House","$160,000",7602 m²,bulawayo south
Budiriro - House,"$47,000",262 m²,harare high density
Greendale - House,"$320,000",4047 m²,harare east
Charlotte Brooke - House,"$48,000",1200 m²,harare north
Chitungwiza - House,"$36,000",312 m²,chitungwiza
Chikanga - House,"$23,000",306 m²,mutare
Highfield - House,"$11,500",150 m²,harare high density
Hogerty Hill - House,"$380,000",4047 m²,harare north
Westgate - House,"$65,000",1600 m²,harare west
Borrowdale - House,"$4,000,000",24956 m²,harare north
Umwinsidale - House,"$750,000",31000 m²,harare north
Chinhoyi - House,"$180,000",3315 m²,chinhoyi
Chitungwiza - House,"$40,000",250 m²,chitungwiza
Chiredzi - House,"$105,000",4058 m²,chiredzi
Damofalls - House,"$38,000",200 m²,damofalls
Mabelreign - House,"$85,000",920 m²,harare west
Borrowdale - House,"$170,000",4047 m²,harare north
Westgate - House,"$160,000",4000 m²,harare west
Windsor Park - House,"$100,000",3000 m²,ruwa
Zimre Park - House,"$65,000",980 m²,harare east
Budiriro - House,"$35,000",392 m²,harare high density
Hillside - House,"$164,000",2578 m²,bulawayo south
Kumalo - House,"$250,000",1 m²,bulawayo east
"Waterfalls - House, House","$75,000",1 bathrooms,harare south
Chitungwiza - House,"$35,000",300 m²,chitungwiza
Glaudina - House,"$65,000",300 m²,harare west
Warren Park - House,"$40,000",300 m²,harare high density
Morningside - House,"$180,000",2679 m²,mutare
Avondale - The Ridge - House,"$950,000",4100 m²,harare west
Entumbane - House,"$15,000", , 
Fairbridge Park - House,"$170,000",3801 m²,mutare
Ruwa - House,"$65,000",370 m²,ruwa
Bulawayo City Centre - House,"$200,000",1 bathrooms,bulawayo cbd industrial
"Hogerty Hill - House, Townhouse Complex","$170,000",700 m²,harare north
Glen Lorne - House,"$550,000",9450 m²,harare north
Mount Pleasant - House,"$400,000",6009 m²,harare north
Madokero - House,"$115,000",400 m²,harare west
"Arlington - House, Townhouse Complex","$135,000",380 m²,harare south
"Gunhill - House, Townhouse Complex","$230,000",2385 m²,harare north
Kumalo - House,"$195,000",3432 m²,bulawayo east
Kambuzuma - House,"$32,000",255 m²,harare high density
Malindela - House,"$110,000",2839 m²,bulawayo south
"Greendale - House, Townhouse Complex","$160,000",400 m²,harare east
Madokero - House,"$106,000",420 m²,harare west
Bradfield - House,"$145,000",1 bathrooms,bulawayo south
Glen View - House,"$27,000",300 m²,harare high density
Hillside - House,"$180,000",3 bathrooms,bulawayo south
Cowdray Park - House,"$25,000",1 m²,bulawayo high density
Colne Valley - House,"$450,000",4047 m²,harare north
Glen View - House,"$36,000",300 m²,harare high density
Bellevue - House,"$60,000",3000 m²,bulawayo south
Msasa Park - House,"$68,000",400 m²,harare south
Tynwald - House,"$70,000",400 m²,harare west
Ruwa - House,"$38,000",450 m²,ruwa
"Tynwald - House, Townhouse Complex","$63,000",400 m²,harare west
Zengeza - House,"$17,000",300 m²,chitungwiza
Burnside - House,"$90,000",1 m²,bulawayo east
Chitungwiza - House,"$13,000",200 m²,chitungwiza
Chitungwiza - House,"$30,000",1 bathrooms,chitungwiza
Rhodene - House,"$95,000",3020 m²,masvingo
Hatcliffe - House,"$18,500",500 m²,harare high density
Glen Lorne - House,"$350,000",4000 m²,harare north
Cowdray Park - House,"$27,000",1 bathrooms,bulawayo high density
Southwold - House,"$120,000",972 m²,bulawayo south
Greendale - House,"$210,000",3645 m²,harare east
Rolf Valley - House,"$437,000",4048 m²,harare north
Mt Pleasant Heights - House,"$160,000",2000 m²,harare west
Kensington - House,"$65,000",1 bathrooms,bulawayo east
Monavale - House,"$105,000",1000 m²,harare west
"Avondale - House, Townhouse Complex","$220,000",2 bathrooms,harare north
Eastlea - House,"$450,000",2000 m²,harare east
Greystone Park - House,"$500,000",2203 m²,harare north
Hwange - House,"$70,000",2 bathrooms,hwange
Budiriro - House,"$40,000",300 m²,harare high density
Manresa - House,"$80,000",2010 m²,harare east
Ruwa - House,"$48,000",400 m²,ruwa
Westlea - House,"$45,000",690 m²,harare west
Greystone Park - House,"$270,000",4000 m²,harare north
Glen Lorne - House,"$350,000",4600 m²,harare north
Bluff Hill - House,"$120,000",500 m²,harare west
St. Marys - House,"$14,000",240 m²,chitungwiza
Rhodene - House,"$210,000",2516 m²,masvingo
Highfield - House,"$20,000",350 m²,harare high density
Arcadia - House,"$90,000",714 m²,harare south
Borrowdale - House,"$185,000",1965 m²,harare north
"Chegutu - House, Townhouse Complex","$110,000",5100 m²,chegutu
"Hatfield - House, Townhouse Complex","$70,000",1000 m²,harare south
"Marlborough - House, Townhouse Complex","$85,000",1 bathrooms,harare west
"Prospect - House, House","$60,000",500 m²,harare south
Matsheumhlope - House,"$120,000",4047 m²,bulawayo east
Chitungwiza - House,"$30,000",250 m²,chitungwiza
Glen Lorne - House,"$300,000",4110 m²,harare north
Glen Lorne - House,"$300,000",4110 m²,harare north
Zimre Park - House,"$115,000",3 bedrooms,harare east
Lochview - House,"$280,000",8075 m²,bulawayo east
Avondale - House,"$135,000",1100 m²,harare north
Zengeza - House,"$23,500",200 m²,chitungwiza
Madokero - House,"$90,000",475 m²,harare west
Colne Valley - House,"$2,600,000",4000 m²,harare north
Matsheumhlope - House,"$180,000",2 bathrooms,bulawayo east
Mount Pleasant - House,"$220,000",4005 m²,harare north
"Marlborough - House, Townhouse Complex","$185,000",4047 m²,harare west
Chitungwiza - House,"$25,000",300 m²,chitungwiza
Greystone Park - House,"$1,000,000",4000 m²,harare north
Ryelands - House,"$800,000",4111 m²,harare north
Chisipite - House,"$470,000",4042 m²,harare north
Glaudina - House,"$65,000",375 m²,harare west
Mbizo - House,"$37,000",370 m²,kwekwe
Greendale - House,"$220,000",500 m²,harare east
Killarney - House,"$150,000",5768 m²,bulawayo east
Chitungwiza - House,"$28,000",200 m²,chitungwiza
Madokero - House,"$50,000",405 m²,harare west
Norton - House,"$40,000",1980 m²,norton
Arlington - House,"$380,000",2549 m²,harare south
Marondera - House,"$19,000",200 m²,marondera
Matidoda - House,"$75,000",660 m²,harare west
Waterfalls - House,"$120,000",1139 m²,harare south
Borrowdale - House,"$180,000",4000 m²,harare north
Ruwa - House,"$28,000",778 m²,ruwa
Crowhill Views - House,"$50,000",1250 m²,harare north
Utopia - House,"$120,000",2702 m²,mutare
Southlea Park - House,"$13,000",200 m²,harare south
Crowhill Views - House,"$58,000",1000 m²,harare north
Chitungwiza - House,"$32,000",200 m²,chitungwiza
Windsor Park - House,"$155,000",2000 m²,gweru
Kuwadzana - House,"$29,000",200 m²,harare high density
Glen Lorne - House,"$2,300,000",326700 m²,harare north
Umwinsidale - House,"$3,500,000",16187 m²,harare north
Zengeza - House,"$15,500",200 m²,chitungwiza
Matsheumhlope - House,"$230,000",2 bathrooms,bulawayo east
Burnside - House,"$300,000",2 bathrooms,bulawayo east
Norton - House,"$67,000",2000 m²,norton
Dzivarasekwa - House,"$18,000",300 m²,harare high density
Hatfield - House,"$80,000",2100 m²,harare south
Chiredzi - House,"$130,000",4046 m²,chiredzi
Eastlea - House,"$220,000",1000 m²,harare east
Eastlea - House,"$250,000",1190 m²,harare east
Zengeza - House,"$27,000",200 m²,chitungwiza
Victoria Falls - House,"$185,000",1800 m²,victoria falls
Mabelreign - House,"$140,000",1837 m²,harare west
Chadcombe - House,"$150,000",4100 m²,harare south
"Four Winds - House, House","$120,000",4096 m²,bulawayo south
Glen View - House,"$35,000",200 m²,harare high density
Mount Pleasant - House,"$380,000",4700 m²,harare north
Avondale West - House,"$140,000",1100 m²,harare west
Fairview - House,"$140,000",1000 m²,harare west
Mount Pleasant Heights - House,"$210,000",2000 m²,harare north
Borrowdale Brooke - House,"$860,000",1435 m²,harare north
Zimre Park - House,"$140,000",880 m²,harare east
Goodhope - House,"$185,000",2360 m²,harare west
Murambi - House,"$500,000",12000 m²,mutare
"Bluff Hill - House, Townhouse Complex","$150,000",4 bedrooms,harare west
Southview Park - House,"$38,000",240 m²,harare south
Park Meadowlands - House,"$55,000",2073 m²,harare south
Glen View - House,"$37,000",300 m²,harare high density
Adylinn - House,"$156,000",1000 m²,harare west
Golden Acres - House,"$170,000",4420 m²,kwekwe
Marondera - House,"$30,000",300 m²,marondera
Helensvale - House,"$6,000,000",24000 m²,harare north
Westgate - House,"$200,000",800 m²,harare west
Mabvuku - House,"$20,000",200 m²,harare high density
Norton - House,"$70,000",2600 m²,norton
Zimre Park - House,"$70,000",1500 m²,harare east
Norton - House,"$26,000",250 m²,norton
Hatfield - House,"$75,000",2000 m²,harare south
Chisipite - House,"$480,000",4100 m²,harare north
Mount Pleasant - House,"$370,000",4000 m²,harare north
Glen View - House,"$38,000",300 m²,harare high density
Borrowdale - House,"$230,000",4047 m²,harare north
Rusape - House,"$30,000",500 m²,rusape
Morningside - House,"$130,000",1800 m²,bulawayo south
Aspindale Park - House,"$75,000",350 m²,harare west
Damofalls - House,"$50,000",300 m²,damofalls
Newlands - House,"$477,000",4870 m²,harare north
Avondale West - House,"$140,000",1000 m²,harare west
Glen Lorne - House,"$250,000",2300 m²,harare north
Crowborough - House,"$28,000",300 m²,harare high density
Whitecliff - House,"$40,000",2275 m²,harare west
Manyame Park - House,"$30,000",200 m²,chitungwiza
"Lake Chivero - House, Townhouse Complex","$120,000",800 m²,lake chivero
Helensvale - House,"$675,000",1 m²,harare north
Shawasha Hills - House,"$950,000",8094 m²,harare north
Philadelphia - House,"$500,000",3800 m²,harare north
Parktown - House,"$145,000",4048 m²,harare south
Kumalo - House,"$300,000",3 bathrooms,bulawayo east
Newlands - House,"$450,000",4452 m²,harare north
Madokero - House,"$80,000",376 m²,harare west
Greendale - House,"$220,000",2000 m²,harare east
Belvedere - House,"$190,000",1517 m²,harare west
Avonlea - House,"$135,000",1073 m²,harare west
Magwegwe - House,"$35,000",200 m²,bulawayo high density
Snake Park - House,"$30,000",300 m²,harare high density
Marondera - House,"$25,000",300 m²,marondera
Crowhill Views - House,"$22,000",500 m²,harare north
Southerton - House,"$60,000",672 m²,harare south
Southerton - House,"$68,000",600 m²,harare south
Nkulumane - House,"$45,000",512 m²,bulawayo high density
"Marlborough - House, Townhouse Complex","$185,000",4047 m²,harare west
Hillside - House,"$165,000",2 bathrooms,bulawayo south
Ruwa - House,"$45,000",330 m²,ruwa
Hatfield - House,"$125,000",2523 m²,harare south
Dawnview Park - House,"$65,000",400 m²,harare west
Old Windsor - House,"$135,000",2000 m²,ruwa
Avondale - The Ridge - House,"$597,000",4047 m²,harare west
Bulawayo City Centre - House,"$100,000",1 bathrooms,bulawayo cbd industrial
Mainway Meadows - House,"$65,000",500 m²,harare south
Goodhope - House,"$185,000",2360 m²,harare west
"Greendale - House, Townhouse Complex","$185,000",2 bathrooms,harare east
Gletwin Park - House,"$280,000",2000 m²,harare north
Madokero - House,"$104,000",4004 m²,harare west
Glen Lorne - House,"$340,000",4000 m²,harare north
Northwood - House,"$400,000",4000 m²,harare north
Budiriro - House,"$35,000",300 m²,harare high density
Juliasdale - House,"$230,000",4000 m²,juliasdale
Bloomingdale - House,"$110,000",600 m²,harare west
Mkoba - House,"$25,000",300 m²,gweru
Zengeza - House,"$28,000",300 m²,chitungwiza
Warren Park - House,"$39,000",300 m²,harare high density
Greendale - House,"$200,000",3800 m²,harare east
Mount Pleasant - House,"$300,000",3279 m²,harare north
Mandara - House,"$450,000",4002 m²,harare east
Mabvuku - House,"$20,000",390 m²,harare high density
Chisipite - House,"$835,000",4195 m²,harare north
Pumula - House,"$26,000",1 bathrooms,bulawayo high density
Borrowdale - House,"$400,000",3800 m²,harare north
Borrowdale - House,"$200,000",4000 m²,harare north
Greystone Park - House,"$535,000",4040 m²,harare north
Southview Park - House,"$38,000",240 m²,harare south
Ruwa - House,"$35,000",400 m²,ruwa
Victoria Falls - House,"$200,000",650 m²,victoria falls
Chisipite - House,"$1,000,000",12141 m²,harare north
Ruwa - House,"$70,000",400 m²,ruwa
Cranborne - House,"$98,000",714 m²,harare south
Fairview - House,"$120,000",1200 m²,harare west
Goodhope - House,"$195,000",2600 m²,harare west
Kariba - House,"$42,000",300 m²,kariba
Mandara - House,"$350,000",4000 m²,harare east
Hatfield - House,"$115,000",2506 m²,harare south
Budiriro - House,"$55,000",800 m²,harare high density
Marondera - House,"$25,000",200 m²,marondera
Greenside - House,"$140,000",1300 m²,mutare
Ballantyne Park - House,"$750,000",4047 m²,harare north
Waterfalls - House,"$700,000",26999 m²,harare south
"Quinnington - House, Townhouse Complex","$75,000",880 m²,harare north
"Tynwald - House, Townhouse Complex","$70,000",400 m²,harare west
Rusape - House,"$16,000",300 m²,rusape
Zimre Park - House,"$55,000",1500 m²,harare east
Sandton Park - House,"$55,000",1200 m²,harare west
Msasa Park - House,"$60,000",1 bathrooms,harare south
Avondale West - House,"$135,000",937 m²,harare west
"Greendale North - House, Townhouse Complex","$190,000",500 m²,harare north
Sandton Park - House,"$55,000",1200 m²,harare west
Fortunes Gate - House,"$359,000",5 bathrooms,bulawayo east
Kumalo - House,"$170,000",1 m²,bulawayo east
Borrowdale - House,"$135,000",1712 m²,harare north
Burnside - House,"$195,000",16188 m²,bulawayo east
Msasa Park - House,"$70,000",442 m²,harare south
Mandara - House,"$225,000",4000 m²,harare east
Borrowdale - House,"$1,500,000",8000 m²,harare north
Budiriro - House,"$42,000",300 m²,harare high density
Quinnington - House,"$900,000",400 m²,harare north
"Waterfalls - House, Townhouse Complex","$120,000",1000 m²,harare south
Alexandra Park - House,"$450,000",3236 m²,harare north
Prospect - House,"$110,000",2203 m²,harare south
Damofalls - House,"$25,000",350 m²,damofalls
Cold Comfort - House,"$100,000",500 m²,harare west
Msasa Park - House,"$90,000",350 m²,harare south
Chegutu - House,"$28,000",450 m²,chegutu
Chipinge - House,"$15,000",162 m²,chipinge
Morningside - House,"$95,000",1810 m²,bulawayo south
Ruwa - House,"$35,000",300 m²,ruwa
Glen View - House,"$36,000",200 m²,harare high density
Zengeza - House,"$25,000",200 m²,chitungwiza
"Bluff Hill - House, Townhouse Complex","$140,000",500 m²,harare west
"Borrowdale - House, House","$220,000",2100 m²,harare north
Kumalo - House,"$225,000",2390 m²,bulawayo east
Budiriro - House,"$46,000",368 m²,harare high density
Quinnington - House,"$395,000",4000 m²,harare north
Crowhill Views - House,"$55,000",2634 m²,harare north
Whitecliff - House,"$60,000",1200 m²,harare west
"Helensvale - House, Townhouse Complex","$140,000",4000 m²,harare north
Bordervale - House,"$96,000",1539 m²,mutare
Mabvuku - House,"$33,000",200 m²,harare high density
"Marlborough - Townhouse Complex, House","$116,790",166 m²,harare west
Southview Park - House,"$45,000",225 m²,harare south
Tafara - House,"$15,000",300 m²,harare high density
Norton - House,"$40,000",560 m²,norton
Budiriro - House,"$36,000",350 m²,harare high density
"Avondale West - House, Townhouse Complex","$220,000",475 m²,harare west
Mabvuku - House,"$38,000",800 m²,harare high density
Zimre Park - House,"$125,000",800 m²,harare east
Ashdown Park - House,"$105,000",480 m²,harare west
Rydale Ridge - House,"$42,000",300 m²,harare high density
Mabelreign - House,"$100,000",920 m²,harare west
Haydon Park - House,"$75,000",1631 m²,harare west
Mainway Meadows - House,"$75,000",500 m²,harare south
Mount Pleasant Heights - House,"$135,000",2400 m²,harare north
Kuwadzana - House,"$65,000",200 m²,harare high density
Marimba Park - House,"$67,000",1500 m²,harare high density
"Avondale - House, Townhouse Complex","$220,000",4000 m²,harare north
Tynwald - House,"$120,000",2000 m²,harare west
"Burnside - House, House","$170,000",2 bathrooms,bulawayo east
Matsheumhlope - House,"$290,000",1 m²,bulawayo east
Matsheumhlope - House,"$230,000",1 m²,bulawayo east
Riverside North - House,"$140,000",4000 m²,bulawayo east
Victoria Falls - House,"$170,000",3 bedrooms,victoria falls
Chitungwiza - House,"$38,000",200 m²,chitungwiza
Kariba - House,"$350,000",3426 m²,kariba
Deka - House,"$200,000",5000 m²,deka
Borrowdale Brooke - House,"$420,000",1283 m²,harare north
"Bluff Hill - House, Townhouse Complex","$90,000",250 m²,harare west
Windsor Park - House,"$80,000",1713 m²,gweru
Kuwadzana - House,"$38,000",300 m²,harare high density
Manresa - House,"$95,000",2010 m²,harare east
Cold Comfort - House,"$35,000",490 m²,harare west
Madokero - House,"$90,000",400 m²,harare west
Eastlea - House,"$300,000",1095 m²,harare east
Ilanda - House,"$140,000",1798 m²,bulawayo east
Avonlea - House,"$180,000",1400 m²,harare west
"Victoria Falls - House, Townhouse Complex","$550,000",963 m²,victoria falls
Strathaven - House,"$240,000",1239 m²,harare west
Chitungwiza - House,"$28,000",300 m²,chitungwiza
Borrowdale West - House,"$238,000",2300 m²,harare north
Upper Rangemore - House,"$30,000",1 bathrooms,bulawayo high density
Bindura - House,"$19,000",250 m²,bindura
"Borrowdale - House, House","$750,000",4047 m²,harare north
Borrowdale - House,"$190,000",2100 m²,harare north
Sentosa - House,"$115,000",1150 m²,harare west
Alexandra Park - House,"$650,000",2136 m²,harare north
Kuwadzana - House,"$50,000",300 m²,harare high density
Glen Lorne - House,"$310,000",5000 m²,harare north
Msasa Park - House,"$90,000",629 m²,harare south
"Greystone Park - House, Townhouse Complex","$300,000",800 m²,harare north
Chadcombe - House,"$150,000",4100 m²,harare south
Westgate - House,"$140,000",800 m²,harare west
Glen Lorne - House,"$175,000",2000 m²,harare north
Borrowdale - House,"$510,000",2500 m²,harare north
Bloomingdale - House,"$85,000",350 m²,harare west
"Borrowdale - House, House","$310,000",4000 m²,harare north
Nkwisi Gardens - House,"$65,000",400 m²,harare west
Goodhope - House,"$140,000",3200 m²,harare west
Msasa Park - House,"$85,000",629 m²,harare south
Ruwa - House,"$55,000",300 m²,ruwa
Zengeza - House,"$30,000",200 m²,chitungwiza
Whitecliff - House,"$90,000",2100 m²,harare west
"Newlands - House, Townhouse Complex","$155,000",700 m²,harare north
Cowdray Park - House,"$16,000",1 bathrooms,bulawayo high density
Kariba - House,"$200,000",5777 m²,kariba
Greencroft - House,"$150,000",2000 m²,harare west
Mbare - House,"$25,000",250 m²,harare high density
Southview Park - House,"$35,000",200 m²,harare south
Arlington - House,"$135,000",600 m²,harare south
Greenhill - House,"$140,000",1551 m²,bulawayo south
Tynwald - House,"$40,000",200 m²,harare west
Glaudina - House,"$63,000",2384 m²,harare west
Marondera - House,"$97,000",1300 m²,marondera
Bluff Hill - House,"$120,000",400 m²,harare west
Borrowdale Brooke - House,"$500,000",2000 m²,harare north
Dzivarasekwa - House,"$19,000",300 m²,harare high density
"Borrowdale - House, Townhouse Complex","$140,000",300 m²,harare north
Greystone Park - House,"$260,000",4000 m²,harare north
Glen View - House,"$40,000",300 m²,harare high density
Hillside - House,"$220,000",1 m²,bulawayo south
Damofalls - House,"$30,000",300 m²,damofalls
"Bindura - House, House","$18,000",200 m²,bindura
Borrowdale - House,"$845,000",8837 m²,harare north
Madokero - House,"$100,000",400 m²,harare west
Damofalls - House,"$55,000",320 m²,damofalls
KweKwe - House,"$69,000",1449 m²,kwekwe
Hogerty Hill - House,"$350,000",8000 m²,harare north
Borrowdale Brooke - House,"$2,700,000",4047 m²,harare north
Ruwa - House,"$70,000",800 m²,ruwa
Damofalls - House,"$22,000",400 m²,damofalls
Greystone Park - House,"$300,000",4139 m²,harare north
Glen Lorne - House,"$700,000",4950 m²,harare north
Northend - House,"$65,000",1 bathrooms,bulawayo north
"Selbourne Park - House, Townhouse Complex","$90,000",2 bathrooms,bulawayo east
Killarney - House,"$72,000",2 bathrooms,bulawayo east
Fairbridge Park - House,"$135,000",3035 m²,mutare
Aspindale Park - House,"$65,000",200 m²,harare west
Avondale - The Ridge - House,"$950,000",4047 m²,harare west
Ruwa - House,"$50,000",300 m²,ruwa
Northend - House,"$95,000",1137 m²,bulawayo north
Aspindale Park - House,"$70,000",200 m²,harare west
Glaudina - House,"$85,000",500 m²,harare west
Kensington - House,"$250,000",2530 m²,harare west
Bluff Hill - House,"$100,000",500 m²,harare west
Burnside - House,"$750,000",4000 m²,bulawayo east
Ashdown Park - House,"$135,000",998 m²,harare west
Hillside - House,"$95,000",4002 m²,bulawayo south
"Ballantyne Park - House, Townhouse Complex","$1,200,000",400 m²,harare north
Haydon Park - House,"$85,000",880 m²,harare west
Mount Pleasant - House,"$550,000",4047 m²,harare north
Mandara - House,"$230,000",4450 m²,harare east
Ashdown Park - House,"$85,000",587 m²,harare west
Msuna - House,"$98,000",4000 m²,msuna
Philadelphia - House,"$350,000",4000 m²,harare north
Chitungwiza - House,"$32,000",200 m²,chitungwiza
Gletwin Park - House,"$180,000",2000 m²,harare north
Nehosho - House,"$20,000",300 m²,gweru
Avondale - House,"$330,000",2500 m²,harare north
Sandton Park - House,"$65,000",1500 m²,harare west
Bellevue - House,"$78,000",2975 m²,bulawayo south
Borrowdale - House,"$1,300,000",4316 m²,harare north
Norton - House,"$65,000",3200 m²,norton
Ashdown Park - House,"$48,000",560 m²,harare west
Waterfalls - House,"$120,000",560 m²,harare south
Sandton Park - House,"$120,000",1400 m²,harare west
Umwinsidale - House,"$700,000",31284 m²,harare north
Bluff Hill - House,"$210,000",2000 m²,harare west
Msasa Park - House,"$70,000",500 m²,harare south
Ballantyne Park - House,"$570,000",4020 m²,harare north
Chitungwiza - House,"$18,000",250 m²,chitungwiza
Nketa - House,"$30,000",300 m²,bulawayo high density
Chitungwiza - House,"$31,000",300 m²,chitungwiza
Milton Park - House,"$185,000",2000 m²,harare west
"Arlington - House, Townhouse Complex","$115,000",1 bathrooms,harare south
"Glen View - House, House","$36,000",300 m²,harare high density
Greendale - House,"$230,000",2619 m²,harare east
Rusape - House,"$40,000",1200 m²,rusape
Waterfalls - House,"$55,000",570 m²,harare south
Borrowdale - House,"$550,000",3700 m²,harare north
Ridgemont - House,"$120,000",4489 m²,gweru
Waterfalls - House,"$80,000",600 m²,harare south
Adelaide Park - House,"$40,000",200 m²,harare high density
Ruwa - House,"$85,000",800 m²,ruwa
Mabelreign - House,"$110,000",1000 m²,harare west
Chitungwiza - House,"$35,000",240 m²,chitungwiza
Nehosho - House,"$22,000",220 m²,gweru
Glen View - House,"$35,000",300 m²,harare high density
Aspindale Park - House,"$75,000",200 m²,harare west
Waterfalls - House,"$80,000",400 m²,harare south
Mufakose - House,"$33,000",300 m²,harare high density
Burnside - House,"$98,000",8354 m²,bulawayo east
Greencroft - House,"$300,000",900 m²,harare west
Haydon Park - House,"$95,000",2000 m²,harare west
Avonlea - House,"$180,000",1350 m²,harare west
Morningside - House,"$115,000",1590 m²,bulawayo south
Philadelphia - House,"$665,000",5441 m²,harare north
Belgravia - House,"$950,000",3331 m²,harare north
Ashdown Park - House,"$130,000",1000 m²,harare west
Chegutu - House,"$75,000",2573 m²,chegutu
Glen Lorne - House,"$550,000",4748 m²,harare north
Manresa - House,"$110,000",600 m²,harare east
Ruwa - House,"$55,000",300 m²,ruwa
"Westgate - House, Townhouse Complex, House, Townhouse Complex","$89,000",150 m²,harare west
Shawasha Hills - House,"$380,000",2100 m²,harare north
Borrowdale Brooke - House,"$750,000",1303 m²,harare north
Hillside - House,"$190,000",14285 m²,bulawayo south
Chitungwiza - House,"$14,000",3000 m²,chitungwiza
Cold Comfort - House,"$77,000",240 m²,harare west
Borrowdale Brooke - House,"$2,200,000",5063 m²,harare north
Romney Park - House,"$120,000",1 m²,bulawayo north
Aspindale Park - House,"$70,000",400 m²,harare west
Highfield - House,"$28,000",337 m²,harare high density
Rydale Ridge - House,"$53,000",300 m²,harare high density
Northend - House,"$100,000",1 m²,bulawayo north
Marondera - House,"$20,000",300 m²,marondera
Mount Pleasant Heights - House,"$205,000",2000 m²,harare north
Chitungwiza - House,"$21,000",200 m²,chitungwiza
Borrowdale Brooke - House,"$1,350,000",2000 m²,harare north
Norton - House,"$50,000",2000 m²,norton
Greendale - House,"$170,000",2000 m²,harare east
Msasa Park - House,"$80,000",410 m²,harare south
New Marlborough - House,"$125,000",1000 m²,harare west
"Hogerty Hill - House, Townhouse Complex","$200,000",500 m²,harare north
Chitungwiza - House,"$30,000",350 m²,chitungwiza
"Marlborough - House, Townhouse Complex","$200,000",480 m²,harare west
Shawasha Hills - House,"$380,000",1870 m²,harare north
Damofalls - House,"$45,000",300 m²,damofalls
Manyame Park - House,"$26,000",150 m²,chitungwiza
Greendale - House,"$260,000",3845 m²,harare east
Ardbennie - House,"$260,000",5051 m²,harare south
Zimre Park - House,"$95,000",800 m²,harare east
Hogerty Hill - House,"$1,117,000",5600 m²,harare north
Borrowdale Brooke - House,"$850,000",17000 m²,harare north
Beitbridge - House,"$245,000",2508 m²,beitbridge
Tynwald - House,"$77,000",450 m²,harare west
Strathaven - House,"$160,000",2000 m²,harare west
Bulawayo City Centre - House,"$150,000",744 m²,bulawayo cbd industrial
Warren Park - House,"$55,000",300 m²,harare high density
"Greendale - House, Townhouse Complex","$270,000",2 bathrooms,harare east
Norton - House,"$25,000",350 m²,norton
Msasa Park - House,"$55,000",404 m²,harare south
Marlborough - House,"$135,000",3 bedrooms,harare west
